price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,Scored Labels
985000.0,2,2.5,2720,26761,2.0,3,7,2720,0,1990,0,1870,12396,587201.0628696678
475000.0,2,1.0,920,5157,1.0,3,6,920,0,1909,0,1700,5150,343612.4897189805
186000.0,3,1.75,1460,7967,1.0,3,7,1040,420,1977,0,1460,6835,292894.84658559714
167000.0,1,1.0,780,10235,1.5,3,6,780,0,1989,0,930,10165,58217.034114173846
979000.0,3,1.5,1700,14133,1.0,4,8,1700,0,1954,0,2630,17376,570541.9871603742
470000.0,2,1.0,900,5512,1.0,3,7,900,0,1947,0,1270,5512,305886.6972794484
500000.0,3,1.5,1320,8100,1.0,4,7,1320,0,1951,0,1480,8100,363919.45171012625
393000.0,2,1.0,980,3350,1.0,4,7,980,0,1925,0,1260,4000,425086.49879730004
551000.0,4,1.5,1470,5100,1.5,3,7,1470,0,1946,0,1470,5100,353025.9145985001
1735000.0,4,3.5,4010,9654,2.0,3,10,4010,0,2007,0,1870,9873,1067919.1316170567
157500.0,3,1.0,1100,27008,1.0,3,6,960,140,1935,0,1280,8890,214890.0734569329
320000.0,5,2.25,2630,8625,2.0,3,8,2630,0,1966,0,1880,8670,617676.6676229129
809000.0,3,2.5,2590,7720,2.0,3,9,2590,0,1988,0,2600,9490,785030.6887914045
600000.0,4,2.5,2420,7744,2.0,3,9,2420,0,1994,0,2820,11129,684427.0237920826
890000.0,4,2.25,2870,8393,1.0,4,8,1480,1390,1977,0,2930,9850,727893.9673742393
610000.0,3,1.75,1650,221720,1.0,3,7,1650,0,1992,0,2520,221284,167387.11629024136
899000.0,4,2.5,4080,10295,2.0,3,10,4080,0,1998,0,3470,10295,1111956.658900161
325000.0,3,1.0,1600,7500,1.0,3,7,1600,0,1966,0,2050,7200,330187.3586903629
290000.0,2,1.5,1076,1060,3.0,3,7,1076,0,2006,0,1076,1060,194037.0406952364
396000.0,3,1.0,1500,12616,1.0,3,7,1500,0,1967,0,1820,13950,297970.08476837794
540000.0,4,2.0,1990,29078,2.0,3,9,1990,0,1984,0,2310,28353,596028.0214926036
1339000.0,4,2.5,4250,19387,2.0,4,9,3260,990,1972,0,3690,17024,1167713.075949862
575000.0,4,2.5,3020,17810,1.0,3,9,1600,1420,1979,0,2500,15815,845533.3014923506
653000.0,2,1.5,1290,5141,1.0,4,7,1050,240,1947,0,1290,5406,428153.86405835894
390000.0,3,1.5,1650,8676,1.0,4,8,1130,520,1979,0,1400,8499,450725.1365982144
459000.0,5,2.5,2650,12987,1.0,4,7,1350,1300,1979,0,2160,12726,492542.31034072966
479200.0,3,2.0,1510,3750,1.5,4,7,1510,0,1928,0,1500,5000,526013.9329925656
402500.0,3,1.75,1480,2211,2.0,3,7,1480,0,1995,0,1480,2197,250243.66980808112
400000.0,2,2.5,1170,1811,2.0,3,8,1170,0,2001,0,1250,3146,373591.79305713135
580000.0,3,2.5,1910,11550,1.5,3,8,1910,0,2003,0,2230,11550,456560.00291215105
261000.0,2,1.0,750,8125,1.0,4,6,750,0,1943,0,1340,8750,192944.15559775056
642000.0,3,2.5,2670,10082,1.0,3,10,2670,0,1987,0,2740,10854,899068.8413734122
310000.0,2,1.0,700,3000,1.0,4,6,700,0,1918,0,1560,4500,286923.70567906357
343000.0,3,1.75,2210,7920,1.0,3,7,1400,810,1966,0,2220,7920,501676.9282160298
440000.0,4,2.25,2160,8119,1.0,3,8,1080,1080,1966,0,1850,9000,581626.3934603337
312000.0,4,2.0,1890,8362,1.0,3,7,1890,0,1966,0,1600,9257,364276.27711406315
450000.0,6,2.25,3550,11780,1.0,4,8,2960,590,1948,0,2360,8850,820969.7961873005
340000.0,3,1.75,1880,11249,1.0,3,7,1330,550,1985,0,1870,14547,349706.87257434917
225000.0,3,1.0,1490,15850,1.0,3,7,1490,0,1946,0,1950,13228,379403.85388710967
390000.0,4,1.75,2180,7560,1.0,4,7,1560,620,1962,0,1810,7352,463982.99715518707
411000.0,3,1.75,1490,9844,1.0,4,7,1190,300,1959,0,1840,10150,393000.4083810488
200126.0,3,2.5,2040,15463,1.0,3,8,1340,700,1968,0,2370,12672,618898.7010168475
279000.0,3,2.5,1540,7280,1.0,3,7,1080,460,1974,0,1220,6440,348762.77874900494
225000.0,3,1.0,1340,4800,1.5,4,5,1340,0,1903,0,1240,4800,291593.21977323573
250000.0,2,1.0,860,4320,1.0,3,7,860,0,1925,0,980,6000,373413.4511547914
610000.0,4,2.5,2980,5896,2.0,3,8,2980,0,2001,0,2900,5712,643420.3368751756
285000.0,3,2.5,2090,10834,1.0,4,8,1360,730,1987,0,1750,8595,562859.1553906073
250750.0,5,1.75,2140,12058,1.0,4,8,2140,0,1951,0,1640,10125,545597.5096672898
760000.0,6,3.75,3810,6150,2.0,4,8,3810,0,1977,0,1830,5125,831101.7053963048
725995.0,4,2.5,3190,7869,2.0,3,9,3190,0,2001,0,2630,6739,795249.1748289701
180000.0,4,1.0,1470,18581,1.5,3,6,1470,0,1924,0,1770,18581,291495.8361971588
285000.0,3,2.5,1320,955,3.0,3,7,1320,0,2009,0,1300,1003,228423.12050301547
507000.0,3,2.25,1810,8158,1.0,3,8,1450,360,1984,0,1740,9532,480417.56637331995
467000.0,3,2.0,1840,3432,2.0,3,7,1840,0,2012,0,1280,7573,254877.12888839655
329500.0,3,1.0,1080,5250,1.0,4,7,1080,0,1947,0,1100,5250,302707.3642522502
345000.0,2,1.0,1770,16660,1.0,3,8,1220,550,1957,0,2790,20504,596409.6804532859
447000.0,3,1.75,1400,6750,1.0,3,7,1040,360,1975,0,1860,7480,298887.4617172469
400000.0,5,2.5,2510,7525,1.5,4,7,1710,800,1929,0,1270,6741,636357.3474493527
470000.0,3,1.75,2290,14800,1.0,3,8,1620,670,1965,0,2320,12474,638325.4764584808
240000.0,3,1.0,1280,9000,1.5,4,6,1280,0,1954,0,1430,4500,214999.99493514234
1675000.0,3,2.5,3490,8343,2.0,4,9,2150,1340,1939,1991,2990,13104,1251428.567678129
545000.0,3,2.5,2060,7184,2.0,3,8,2060,0,1987,0,2230,7788,561098.1480199387
219950.0,3,1.0,1020,4960,1.5,3,6,920,100,1926,0,1230,7335,248165.7900992739
635000.0,3,1.75,1340,3900,2.0,5,7,1340,0,1900,0,1470,1611,625477.6245753738
530000.0,2,1.5,1580,3680,1.0,3,8,1280,300,1941,0,1730,3680,619327.7079106077
449950.0,3,2.25,1540,1270,3.0,3,7,1540,0,2014,0,1230,1454,235585.5853377747
396675.0,2,1.0,1730,6375,2.0,4,6,1730,0,1945,0,1180,6250,389979.3474850253
439000.0,2,1.0,800,5100,1.0,3,7,800,0,1945,0,1330,5100,297142.90399014053
535000.0,2,1.0,980,4120,1.0,3,7,830,150,1950,2014,1760,4120,381415.7610294357
785000.0,4,2.75,2440,69415,1.0,4,8,1910,530,1989,0,2770,24361,591417.1477229799
685000.0,3,3.25,2030,11070,2.0,4,8,2030,0,1980,0,2450,11070,642641.5088372297
342000.0,3,2.5,2430,5715,2.0,3,7,2430,0,1999,0,3040,5702,485215.72942604264
262000.0,2,1.0,1500,4120,1.5,3,5,880,620,1928,0,1300,4120,275462.9087559036
269950.0,4,1.0,1440,9600,1.0,2,7,1440,0,1964,0,1740,43560,207360.59981803398
330000.0,3,2.5,2060,25046,1.0,4,8,1600,460,1980,0,2050,21255,578082.6984625641
340000.0,3,2.5,2690,8577,2.0,3,9,2690,0,1987,0,2570,8066,806911.2924748084
400000.0,4,2.5,3140,12792,2.0,4,9,3140,0,1977,0,2510,12792,890950.8659306893
310000.0,3,1.75,1880,30346,1.0,3,8,1880,0,1988,0,2260,5883,460920.3646874897
447500.0,2,2.25,1180,2090,2.0,3,7,1180,0,2004,0,1550,2812,239077.1547584514
365000.0,3,1.0,1090,6435,1.0,4,7,1090,0,1955,0,1340,6435,280332.73534270795
762500.0,4,2.75,2610,8760,1.0,4,8,1760,850,1978,0,2550,10376,675707.9729393177
725000.0,4,3.25,3940,27591,2.0,3,9,3440,500,2000,0,3420,29170,993170.6295732639
769000.0,4,3.5,3010,6202,2.0,3,9,3010,0,2005,0,2520,5001,792481.8132794702
245000.0,2,1.75,1840,7230,1.0,3,7,1570,270,1938,0,1282,6769,553004.6619797221
739000.0,4,3.0,2720,3800,2.0,5,8,1800,920,1919,0,1940,4001,968860.146756584
360000.0,3,2.5,1480,3851,2.0,3,8,1480,0,1998,0,1650,4716,399424.78792412486
565000.0,4,2.0,2070,7980,1.5,4,7,2070,0,1940,0,1600,7980,531474.6823615307
260000.0,3,2.5,1850,7875,1.0,3,7,1250,600,1968,0,1930,8062,450435.05308436626
171500.0,3,1.0,1150,6480,1.5,4,5,1150,0,1946,0,1100,7300,89177.18209815375
535000.0,4,2.5,3250,6933,2.0,3,8,3250,0,2009,0,3030,5308,666180.255707228
354000.0,3,2.5,2160,15817,2.0,3,8,2160,0,1999,0,1990,15817,522646.6518781703
328000.0,4,1.0,1360,8136,1.0,3,7,1360,0,1948,0,1570,8132,288304.6828184371
326188.0,3,1.0,1300,8800,1.0,3,7,1300,0,1977,0,1600,12210,218670.08122433105
450000.0,3,1.75,1850,8667,1.0,4,7,880,970,1982,0,1450,10530,377637.7051031713
480000.0,3,1.75,1710,4080,1.0,4,7,1130,580,1979,0,1200,4080,350171.0237723902
449950.0,3,1.75,1470,7590,1.0,3,7,1470,0,1988,0,1700,5080,250124.18202487286
762500.0,5,3.5,3290,5880,2.0,3,9,2670,620,2005,0,3090,5680,822605.3577946203
465000.0,2,1.5,1120,1201,3.0,3,8,1120,0,1999,0,1370,1298,358345.8404494161
325000.0,2,2.25,1550,2285,2.0,3,8,1550,0,2007,0,1550,2135,417239.8419123767
453000.0,4,2.75,2300,37533,1.0,5,8,1550,750,1979,0,2130,10092,621104.5943693809
965000.0,4,3.5,3290,5559,1.5,3,8,2290,1000,1906,2004,1790,6000,1139498.266186975
550000.0,3,1.75,1520,5618,1.0,3,7,1170,350,1953,0,1550,5618,395993.7915263523
216000.0,2,1.0,1810,10360,1.0,3,6,1010,800,1946,0,1810,10360,386357.93874049815
320000.0,4,2.25,2190,9020,2.0,3,8,2190,0,1978,0,2170,8400,552665.3720077828
245000.0,3,2.25,1700,8100,1.0,3,7,1200,500,1980,0,1700,8100,356953.748027559
226000.0,4,1.5,1200,10890,1.0,5,7,1200,0,1972,0,1250,10139,223716.1304362323
760000.0,4,2.5,3120,8792,2.0,4,9,3120,0,1992,0,2150,7688,823426.2054187737
649500.0,4,3.0,3150,6599,2.0,3,9,3150,0,2008,0,2680,9430,785135.303225402
217000.0,2,1.0,970,5600,1.0,3,6,970,0,1951,0,1020,5600,174728.13691313402
579000.0,4,2.25,2030,8764,2.0,4,8,2030,0,1983,0,1950,8750,519178.80562907923
781500.0,4,2.5,3440,6332,2.0,3,10,3440,0,2001,0,3310,6528,981726.7821604831
478000.0,2,1.75,1960,6000,1.0,4,7,980,980,1904,0,1650,6000,753040.8193726053
445000.0,4,2.5,2790,8111,2.0,3,9,2480,310,2004,0,2550,7634,716215.1831047775
370000.0,4,2.5,2720,8666,2.0,3,9,2720,0,1992,0,2410,8100,736741.3010808795
296000.0,3,1.75,1360,10742,1.0,5,7,960,400,1971,0,1830,9000,347697.3635240301
1015000.0,4,2.5,2960,4760,2.0,3,8,2160,800,1900,0,1600,4760,1005999.2106043289
500000.0,4,2.25,2420,36680,2.0,4,8,2420,0,1977,0,2410,36680,609812.8764499344
1681000.0,5,5.25,4830,18707,2.0,5,9,3930,900,1952,1998,2880,10520,1479537.745064799
316000.0,3,2.25,2130,8721,1.0,3,8,1570,560,1987,0,2130,9477,543371.6588891873
237100.0,3,1.75,1360,9603,1.0,3,7,1360,0,1963,0,2240,10605,336645.11319537484
490000.0,3,1.75,1660,8208,1.0,4,8,1660,0,1965,0,2210,11000,525368.9606988073
1280000.0,4,3.25,3080,4120,2.0,3,9,2380,700,2014,0,1410,4120,746728.5369264765
313100.0,4,2.5,2660,9030,1.0,4,7,1450,1210,1977,0,1870,9030,545884.740271393
455000.0,3,2.75,2720,31314,3.0,3,8,2720,0,1986,0,2290,15188,722878.0499037344
325000.0,3,2.25,1440,6443,2.0,3,7,1440,0,1995,0,1700,6749,270135.52741233516
800000.0,4,1.5,1790,3952,1.5,4,8,1790,0,1932,0,1200,3876,599997.1350289662
230000.0,3,1.75,1140,1165,2.0,3,8,1140,0,2014,0,1150,1552,229417.23310716625
228000.0,2,1.0,1800,9236,1.0,3,7,1800,0,1954,0,1730,5701,455990.78824400785
765000.0,5,3.75,3580,14275,2.0,3,10,3190,390,1999,0,2740,14300,1011107.5138995817
854000.0,4,2.75,3150,38865,1.0,3,10,2480,670,1986,0,3150,35880,963923.626817615
479000.0,3,1.0,1480,10094,1.0,4,7,1480,0,1956,0,1430,10083,348026.4484652495
732350.0,4,2.5,2270,7665,2.0,3,9,2270,0,1986,0,2450,8706,678281.9225712401
549000.0,3,2.5,2250,9235,2.0,3,8,2250,0,1985,0,2290,8187,604651.7105036562
263000.0,3,1.75,1660,7210,1.0,4,7,1660,0,1977,0,2150,7350,358574.25879154156
469000.0,4,2.5,2240,5624,1.0,3,7,1520,720,1961,0,2240,7495,507793.9869522593
664000.0,4,2.5,1870,16200,1.0,5,8,1250,620,1974,0,2000,11250,543125.7035038713
379500.0,4,2.25,2120,53578,2.0,4,7,2120,0,1985,0,2120,53578,385428.1155143832
563950.0,4,2.75,3050,4750,2.0,3,8,3050,0,2014,0,2730,5480,614262.6162144372
316000.0,3,1.0,1130,7200,1.5,4,6,1130,0,1942,0,1350,1358,232530.18240757682
352950.0,3,1.0,1760,3000,1.5,1,6,1760,0,1900,0,1320,1266,442727.17558965704
490000.0,3,2.0,2070,10023,1.0,3,8,1220,850,1981,0,2130,9694,550523.0538468967
519900.0,4,2.0,1820,9350,1.0,4,8,1820,0,1967,0,2260,9299,508778.0327091173
325000.0,3,2.25,2220,16020,1.0,4,8,1780,440,1966,0,2080,9583,655218.8534097848
746000.0,3,2.25,2370,9619,1.0,4,8,1650,720,1973,0,1960,9712,660031.6399668934
455000.0,4,1.75,1920,6000,1.0,4,7,960,960,1954,0,1850,7200,456764.69270955725
850000.0,3,2.25,3000,18450,1.0,3,10,3000,0,1983,0,2980,12304,968108.479598878
487000.0,3,1.75,1430,12632,1.0,3,7,1430,0,1959,0,1750,10350,350827.4145835815
532500.0,2,1.0,820,3000,1.0,4,7,820,0,1924,0,1490,3000,406699.99473935226
153000.0,3,1.0,1270,6405,1.5,3,6,1270,0,1944,0,1110,6405,220221.55849087983
517500.0,3,1.5,1430,5200,1.0,4,7,1250,180,1940,0,2210,6240,451621.7866611297
700000.0,4,2.5,2440,7491,2.0,4,10,2440,0,1988,0,2490,8580,845514.7697530359
875000.0,4,2.75,3790,10669,2.0,3,10,3790,0,1999,0,3750,11634,1074263.2541697028
419190.0,2,2.5,1590,1426,2.0,3,8,1590,0,2014,0,1590,1426,411407.77461281803
224950.0,4,2.5,2260,9686,1.0,4,7,1520,740,1965,0,1750,9916,502562.784890912
405000.0,3,1.75,1760,5355,1.0,3,7,1160,600,1956,0,1790,6225,441131.75406309357
430000.0,4,3.0,1850,9976,2.0,3,8,1850,0,1991,0,2270,8542,479709.0552188088
419000.0,2,2.5,1470,2034,2.0,4,8,1470,0,1985,0,1510,2055,517426.47137017467
314950.0,3,2.5,1690,4533,2.0,3,7,1690,0,2003,0,1830,5175,301793.96431032196
550000.0,3,2.5,1980,9061,2.0,4,8,1980,0,1987,0,1930,8869,558370.1791145746
470000.0,4,2.5,1990,30083,2.0,3,8,1990,0,1998,0,2220,11627,451335.2867539498
592500.0,2,2.0,1870,4751,1.0,3,8,1870,0,2006,0,2170,5580,453749.4330798645
310000.0,4,2.0,1870,6000,1.5,3,7,1870,0,1956,0,1520,7169,411969.3779804491
321950.0,2,1.25,860,1277,2.0,3,7,860,0,2007,0,1280,1265,115533.41313568171
600000.0,2,1.0,910,2002,1.5,3,6,910,0,1900,0,1190,1208,378339.85132056405
462000.0,5,1.75,2840,10220,1.0,4,7,2210,630,1954,0,2000,9750,566379.9340859143
275000.0,2,1.75,930,7080,1.0,3,6,930,0,1923,2006,1100,7680,363508.52651194774
660000.0,5,2.25,3740,14913,1.5,4,9,3740,0,1979,0,2180,7600,907507.629574388
500000.0,4,2.75,2260,7209,1.0,3,7,1330,930,2002,0,1790,10860,359208.4152203533
449950.0,3,2.0,1880,3048,2.0,4,7,1880,0,1902,0,1680,3600,712050.9183550118
1550000.0,4,3.5,3260,5000,2.0,5,9,2630,630,1937,0,2600,5000,1155064.8312841668
390000.0,3,2.25,2420,31497,1.0,4,8,1750,670,1964,0,2040,30472,692221.725527145
405000.0,3,2.75,1310,7300,1.0,3,7,1310,0,1957,0,1310,7030,373416.44939074805
375000.0,3,2.5,1930,6180,1.0,3,7,1330,600,1961,0,1940,6180,492806.8125081132
325000.0,2,1.0,1060,6050,1.0,3,7,940,120,1939,0,1540,5279,375970.0871065847
625000.0,4,2.5,3550,8048,2.0,3,9,3550,0,2007,0,3920,7871,873617.630370209
515000.0,2,1.0,1060,4228,1.0,3,7,860,200,1906,0,1060,4187,489938.62417393015
239000.0,3,1.0,940,8571,1.0,3,6,940,0,1950,0,1100,8573,121339.69264978694
444000.0,3,2.0,1460,2610,2.0,3,8,1460,0,1987,0,1320,3000,405471.4547942728
315000.0,3,2.5,2200,5954,2.0,3,7,2200,0,2004,0,2200,5046,401273.83019025286
1583000.0,4,4.0,5610,11063,3.0,3,11,4750,860,2006,0,4560,11063,1634086.045183052
286000.0,3,2.5,1800,3980,2.0,3,7,1800,0,2006,0,2580,4307,331952.60571410425
295000.0,3,1.75,1500,15246,1.0,3,6,1500,0,1925,1998,1500,16988,413235.59322826844
580000.0,3,2.25,2190,8188,2.0,3,8,1810,380,1978,0,2190,8374,615180.7457999736
510000.0,3,1.75,1600,19200,1.0,4,7,1600,0,1967,0,2010,14850,377066.48725988204
440000.0,4,1.0,1440,6678,1.0,3,7,1040,400,1950,0,1320,6678,299332.8998751022
2680000.0,5,3.0,4290,20445,2.0,4,11,4290,0,1985,0,3620,22325,1310735.509583972
139000.0,4,1.5,1410,10648,1.0,4,7,1410,0,1966,0,1410,10522,268039.7850547512
560000.0,2,2.0,1680,4647,1.0,3,8,1680,0,2008,0,1680,4950,398218.39127467154
259950.0,3,1.5,1240,9500,1.0,4,7,1240,0,1955,0,1845,10125,343307.5856195338
240000.0,4,1.75,1880,9600,1.0,5,7,1020,860,1946,0,1560,14400,485965.40595014906
415000.0,4,1.0,1620,4329,1.5,3,7,1620,0,1927,0,1220,5520,421351.7468937724
640000.0,3,2.0,1380,4800,1.0,3,7,1380,0,1948,0,1740,5640,397622.8516634203
1160000.0,4,2.5,3860,10361,2.0,4,10,2940,920,1985,0,3720,13155,1170762.9286603231
1205000.0,5,3.5,3220,8000,2.0,3,9,2900,320,2008,0,2100,9680,760986.6467566048
200000.0,3,2.0,1290,5757,1.0,3,7,1290,0,1994,0,1580,6798,202267.92284210003
275000.0,5,2.0,2260,11970,1.0,4,7,1250,1010,1962,0,1950,11970,449326.0849731463
541500.0,3,1.75,2320,55847,1.0,4,8,2320,0,1960,0,2400,26112,659925.7509797004
785000.0,3,2.0,1600,9638,1.0,5,7,1600,0,1952,0,1800,11400,462768.78987111687
260000.0,2,1.0,1550,15250,1.5,5,7,1550,0,1920,0,1520,34929,573613.5442847649
200000.0,4,2.0,2090,6630,1.0,3,7,1070,1020,1974,0,1550,7980,395770.93394292484
498500.0,4,2.5,1910,7172,2.0,3,8,1910,0,1993,0,1630,10127,440832.67641140264
299000.0,3,2.75,3080,19635,1.0,4,7,1610,1470,1958,0,2424,12410,778139.8247916435
750000.0,3,1.75,2240,10578,2.0,5,8,1550,690,1923,0,1570,10578,839565.9139596231
480000.0,2,1.75,1170,4635,1.0,4,6,690,480,1924,0,1240,4120,388678.5600064058
2288000.0,4,2.5,4080,18362,2.0,4,11,4080,0,1983,0,4080,19991,1322861.7647082943
265000.0,2,2.0,1860,10856,1.0,3,8,1260,600,1952,0,1250,10008,642934.8926517054
489000.0,3,2.5,3080,5598,2.0,3,8,3080,0,2006,0,3080,5303,700247.0641481015
1565000.0,4,2.75,2810,8570,2.0,3,10,2810,0,1993,0,2810,9621,893293.0716182773
690700.0,5,2.75,2870,5349,2.0,3,9,2870,0,2005,0,2800,5000,687184.6820150001
572115.0,4,3.25,3230,4838,2.0,3,9,3230,0,2014,0,2980,5094,799606.0234836738
810000.0,4,3.25,4140,46173,2.0,3,9,4140,0,2007,0,2060,43103,944260.528032271
291000.0,3,1.0,1280,10500,1.5,4,5,1280,0,1941,0,1410,10500,138563.43855680025
755000.0,3,3.25,3450,15586,2.0,3,11,2690,760,1989,0,3560,15046,1259742.6749045243
705000.0,2,2.0,1650,6840,1.5,5,7,1650,0,1916,0,1700,4560,675697.481595913
125000.0,1,1.0,500,7440,1.0,1,5,500,0,1928,0,1350,7440,72941.74154298141
543000.0,4,2.25,2060,8767,2.0,3,8,2060,0,1983,0,1610,8062,494618.834623258
255000.0,5,3.75,2800,9900,1.0,3,7,2800,0,1964,0,1700,13200,568624.9134516777
420000.0,5,2.25,3070,64033,1.0,3,9,2730,340,1983,0,1560,28260,713315.233625572
1180000.0,4,3.25,3750,74052,2.0,3,10,3750,0,2013,0,4920,74052,1034736.3067118521
275000.0,3,1.5,1060,6954,1.0,4,6,1060,0,1983,0,1560,6954,76773.54095134098
470000.0,3,2.5,2620,4874,2.0,3,7,2620,0,1999,0,2360,4231,501621.951977252
760000.0,3,2.75,3530,69834,2.0,3,10,3530,0,1994,0,3560,74256,1057112.8364967587
843500.0,4,2.0,2630,16475,2.0,4,8,2630,0,1953,0,2670,15001,746545.0606492134
480000.0,3,1.75,2920,21375,1.0,3,8,1850,1070,1961,0,1540,8482,758431.7928861333
825000.0,4,2.5,3210,18901,2.0,3,10,3210,0,1993,0,3330,18901,963552.8258327816
215000.0,3,1.5,1610,5304,1.0,4,6,1610,0,1968,0,1060,5304,220598.97232567682
1325000.0,6,4.25,5720,10213,2.0,3,10,4170,1550,2004,0,4300,10224,1428847.3737108153
390000.0,2,1.0,1080,4725,1.5,3,7,1080,0,1944,0,1520,4961,371907.3431434353
387865.0,3,2.5,2370,4200,2.0,3,8,2370,0,2014,0,2370,4200,521472.66346877324
1698000.0,4,3.0,3600,9687,2.0,4,9,3600,0,1959,1995,2620,10400,1124312.1731579273
320000.0,2,1.0,950,4000,1.0,3,6,950,0,1910,0,1480,4000,339801.9026565369
680000.0,3,2.25,2300,9914,2.0,4,8,2300,0,1980,0,2240,9032,639855.9211526912
900000.0,4,2.5,2230,4372,2.0,5,8,1540,690,1935,0,2020,4372,791698.3844209025
311000.0,3,1.0,1640,12060,1.0,4,7,1640,0,1960,0,1680,9147,369469.7078914667
495000.0,4,2.5,3390,7870,2.0,3,8,3390,0,2014,0,1960,10069,640289.542355057
419625.0,4,2.5,2680,11590,2.0,4,9,2680,0,1988,0,2580,8225,770029.1185802731
690000.0,2,2.5,1990,1756,3.0,3,9,1780,210,2005,0,1955,1438,684723.6080530188
334990.0,4,2.5,2220,4228,2.0,3,8,2220,0,2014,0,2220,4157,437733.60370874475
462500.0,2,2.0,1690,4200,2.0,3,7,1690,0,1906,0,1540,4200,689408.8208796019
396480.0,3,1.0,1000,10800,1.0,3,7,1000,0,1959,0,1140,16846,216636.07978548354
280000.0,2,1.0,1260,4800,1.0,3,6,1100,160,1947,0,1260,2435,255166.42725107423
405000.0,3,2.0,1640,7201,1.0,3,8,1640,0,1948,0,1750,7201,566089.3152504048
425000.0,3,2.0,1180,1800,2.0,3,8,1180,0,1994,0,1500,1948,333641.9898285534
336500.0,3,1.0,1480,7284,1.0,3,7,970,510,1963,0,2020,7920,331426.3260266171
545000.0,3,2.5,2760,17377,2.0,3,9,2760,0,2002,0,1940,8504,744787.5974689731
350000.0,3,1.75,1260,1111,2.0,3,8,1260,0,2003,0,1410,1630,300076.13871315145
327500.0,3,2.25,1770,8755,1.0,3,8,1330,440,1981,0,1910,8710,491673.1331333014
457000.0,4,2.5,2820,6983,2.0,3,9,2820,0,2013,0,2597,7222,681359.570054303
270000.0,3,2.5,1350,1189,2.0,3,7,1080,270,2007,0,1300,1182,219047.54727208428
860000.0,5,1.75,2510,6000,1.5,5,8,2010,500,1920,0,2240,5000,798066.2815757215
701000.0,4,1.5,1840,10080,2.0,3,8,1840,0,1907,0,1830,5040,714043.8207167434
436000.0,4,2.75,2080,9600,1.0,3,8,1240,840,1979,0,1880,9525,535936.114639527
814950.0,4,2.75,2990,6626,2.0,3,9,2990,0,2014,0,2910,5533,730018.7899574856
540000.0,4,1.0,1360,5766,1.5,5,7,1360,0,1951,0,1500,5704,332738.72066722927
788600.0,4,2.75,3500,7200,2.0,3,9,3500,0,2005,0,3920,7666,884015.3629551481
540000.0,2,1.25,1230,1569,2.0,3,9,1050,180,2009,0,1100,1230,418425.45289434877
480000.0,3,2.25,1950,8892,2.0,3,8,1950,0,1983,0,1900,8750,534564.9562046102
